name,description,price,imageUrl,boost,contactEmail
Essence Mascara Lash Princess,"The Essence Mascara Lash Princess is a popular mascara known for its volumizing and lengthening effects. Achieve dramatic lashes with this long-lasting and cruelty-free formula.",9.99,image_1.webp,false,johndoe@gmail.com
Eyeshadow Palette with Mirror,"The Eyeshadow Palette with Mirror offers a versatile range of eyeshadow shades for creating stunning eye looks. With a built-in mirror, it's convenient for on-the-go makeup application.",19.99,image_2.webp,false,johndoe@gmail.com
Powder Canister,"The Powder Canister is a finely milled setting powder designed to set makeup and control shine. With a lightweight and translucent formula, it provides a smooth and matte finish.",14.99,image_3.webp,false,johndoe@gmail.com
Red Lipstick,"The Red Lipstick is a classic and bold choice for adding a pop of color to your lips. With a creamy and pigmented formula, it provides a vibrant and long-lasting finish.",12.99,image_4.webp,false,johndoe@gmail.com
Red Nail Polish,"The Red Nail Polish offers a rich and glossy red hue for vibrant and polished nails. With a quick-drying formula, it provides a salon-quality finish at home.",8.99,image_5.webp,false,johndoe@gmail.com
Calvin Klein CK One,"CK One by Calvin Klein is a classic unisex fragrance, known for its fresh and clean scent. It's a versatile fragrance suitable for everyday wear.",49.99,image_6.webp,false,johndoe@gmail.com
Chanel Coco Noir Eau De,"Coco Noir by Chanel is an elegant and mysterious fragrance, featuring notes of grapefruit, rose, and sandalwood. Perfect for evening occasions.",129.99,image_7.webp,false,johndoe@gmail.com
Dior J'adore,"J'adore by Dior is a luxurious and floral fragrance, known for its blend of ylang-ylang, rose, and jasmine. It embodies femininity and sophistication.",89.99,image_8.webp,false,johndoe@gmail.com
Dolce Shine Eau de,"Dolce Shine by Dolce & Gabbana is a vibrant and fruity fragrance, featuring notes of mango, jasmine, and blonde woods. It's a joyful and youthful scent.",69.99,image_9.webp,false,johndoe@gmail.com
Gucci Bloom Eau de,"Gucci Bloom by Gucci is a floral and captivating fragrance, with notes of tuberose, jasmine, and Rangoon creeper. It's a modern and romantic scent.",79.99,image_10.webp,false,johndoe@gmail.com
Annibale Colombo Bed,"The Annibale Colombo Bed is a luxurious and elegant bed frame, crafted with high-quality materials for a comfortable and stylish bedroom.",1899.99,image_11.webp,false,johndoe@gmail.com
Annibale Colombo Sofa,"The Annibale Colombo Sofa is a sophisticated and comfortable seating option, featuring exquisite design and premium upholstery for your living room.",2499.99,image_12.webp,false,johndoe@gmail.com
Bedside Table African Cherry,"The Bedside Table in African Cherry is a stylish and functional addition to your bedroom, providing convenient storage space and a touch of elegance.",299.99,image_13.webp,false,johndoe@gmail.com
Knoll Saarinen Executive Conference Chair,"The Knoll Saarinen Executive Conference Chair is a modern and ergonomic chair, perfect for your office or conference room with its timeless design.",499.99,image_14.webp,false,johndoe@gmail.com
Wooden Bathroom Sink With Mirror,"The Wooden Bathroom Sink with Mirror is a unique and stylish addition to your bathroom, featuring a wooden sink countertop and a matching mirror.",799.99,image_15.webp,false,johndoe@gmail.com
Apple,"Fresh and crisp apples, perfect for snacking or incorporating into various recipes.",1.99,image_16.webp,false,johndoe@gmail.com
Beef Steak,"High-quality beef steak, great for grilling or cooking to your preferred level of doneness.",12.99,image_17.webp,false,johndoe@gmail.com
Cat Food,"Nutritious cat food formulated to meet the dietary needs of your feline friend.",8.99,image_18.webp,false,johndoe@gmail.com
Cooking Oil,"Versatile cooking oil suitable for frying, sautéing, and various culinary applications.",4.99,image_20.webp,false,johndoe@gmail.com
Cucumber,"Crisp and hydrating cucumbers, ideal for salads, snacks, or as a refreshing side.",1.49,image_21.webp,false,johndoe@gmail.com
Dog Food,"Specially formulated dog food designed to provide essential nutrients for your canine companion.",10.99,image_22.webp,false,johndoe@gmail.com
Eggs,"Fresh eggs, a versatile ingredient for baking, cooking, or breakfast.",2.99,image_23.webp,false,johndoe@gmail.com
Fish Steak,"Quality fish steak, suitable for grilling, baking, or pan-searing.",14.99,image_24.webp,false,johndoe@gmail.com
Green Chili Pepper,"Spicy green chili pepper, ideal for adding heat to your favorite recipes.",0.99,image_26.webp,false,johndoe@gmail.com
Honey Jar,"Pure and natural honey in a convenient jar, perfect for sweetening beverages or drizzling over food.",6.99,image_27.webp,false,johndoe@gmail.com
Ice Cream,"Creamy and delicious ice cream, available in various flavors for a delightful treat.",5.49,image_28.webp,false,johndoe@gmail.com
Juice,"Refreshing fruit juice, packed with vitamins and great for staying hydrated.",3.99,image_29.webp,false,johndoe@gmail.com
Kiwi,"Nutrient-rich kiwi, perfect for snacking or adding a tropical twist to your dishes.",2.49,image_30.webp,false,johndoe@gmail.com
